Java HotSpot(TM) Client VM (25.60-b23) for windows-x86 JRE (1.8.0_60-b27), built on Aug  4 2015 10:57:40 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 3399160k(995136k free), swap 6796604k(3629564k free)
CommandLine flags: -XX:InitialHeapSize=1048576000 -XX:MaxHeapSize=1048576000 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.963: [GC (Allocation Failure) 3.963: [DefNew: 959K->64K(960K), 0.0030549 secs] 48380K->48352K(1023936K), 0.0031345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.011: [GC (Allocation Failure) 4.011: [DefNew: 960K->63K(960K), 0.0031349 secs] 49248K->49198K(1023936K), 0.0032103 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.103: [GC (Allocation Failure) 4.103: [DefNew: 959K->63K(960K), 0.0047246 secs] 50094K->50083K(1023936K), 0.0048224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.193: [GC (Allocation Failure) 4.193: [DefNew: 959K->63K(960K), 0.0031802 secs] 50979K->50950K(1023936K), 0.0032665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.241: [GC (Allocation Failure) 4.241: [DefNew: 959K->64K(960K), 0.0050898 secs] 51846K->51828K(1023936K), 0.0051865 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.305: [GC (Allocation Failure) 4.305: [DefNew: 960K->63K(960K), 0.0045228 secs] 52724K->52711K(1023936K), 0.0046185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.352: [GC (Allocation Failure) 4.352: [DefNew: 959K->64K(960K), 0.0049948 secs] 53607K->53591K(1023936K), 0.0050901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.436: [GC (Allocation Failure) 4.436: [DefNew: 960K->63K(960K), 0.0046611 secs] 54487K->54475K(1023936K), 0.0047599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.494: [GC (Allocation Failure) 4.494: [DefNew: 959K->64K(960K), 0.0055953 secs] 55371K->55363K(1023936K), 0.0057031 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.591: [GC (Allocation Failure) 4.591: [DefNew: 960K->63K(960K), 0.0046949 secs] 57283K->57241K(1023936K), 0.0047763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.669: [GC (Allocation Failure) 4.669: [DefNew: 959K->64K(960K), 0.0050461 secs] 58137K->58090K(1023936K), 0.0051456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.716: [GC (Allocation Failure) 4.716: [DefNew: 960K->63K(960K), 0.0031893 secs] 58986K->58962K(1023936K), 0.0032794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.764: [GC (Allocation Failure) 4.764: [DefNew: 959K->64K(960K), 0.0049103 secs] 59858K->59827K(1023936K), 0.0050053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
